Unique ID,Survey Type,Start time,What are the biggest challenges facing households in your community today?,Do you currently live or work in Southern Maine? (Can select more than one),"If an unexpected expense of $400 came up, would you be able to pay it?",Are you part of a community whose voice you feel is not being heard?,"What community are you referring to?  Please name the group, town, or city. ",What is your age group?,How do you describe your race or ethnicity? (Can select more than one),What is your primary relationship with United Way of Southern Maine (UWSM)?,Want to get involved?  ,How would you consider getting involved locally to be part of the solution? (Select all that apply),Which bills or everyday expenses are the hardest for your household to afford?,What is your zip code?,Are you currently employed?,What type of employment?,Can you describe more about how this financial challenge affects you or your family?,What’s getting in the way of being able to cover your bills or living expenses? (Select all that apply),What supports would be most helpful for you?,"Where would you like to be in 5 years? You can share anything that matters to you—like having a steady job, owning a home, goin",How would you like to be part of creating change in your community? (Select all that apply),How long have you lived in Maine?,Would you be willing to share your story with others in the community?
10077,Full Survey,1102066:45:29,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Behavioral health challenges (like substance use or addiction);Child care that is affordable and available;",Cumberland,Yes,No,,,,,No,Volunteering my time or skills in local programs;Joining a group that solves community issues;,,,,,,,,,,,
10078,Full Survey,1102066:48:32,"Mental health challenges (like anxiety, depression);",Cumberland,Yes,No,,,,,No,Volunteering my time or skills in local programs;,,,,,,,,,,,
10079,Full Survey,1102066:49:17,"Paying for housing (rent, utilities, mortgage, taxes);",Cumberland,No,Maybe,Other,,,,No,,,,,,,,,,,,
10080,Full Survey,1102066:53:38,"Mental health challenges (like anxiety, depression);Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Behavioral health challenges (like substance use or addiction);",Cumberland,"Maybe, with difficulty",No,,,,,No,Volunteering my time or skills in local programs;Not sure yet - I am open to ideas;,,,,,,,,,,,
10081,Full Survey,1102066:49:17,"Paying for housing (rent, utilities, mortgage, taxes);",Cumberland,No,No,,,,,No,,,,,,,,,,,,
10082,Full Survey,1102067:09:37,"Covering basic expenses (groceries, gas, emergencies);Paying for housing (rent, utilities, mortgage, taxes);",Cumberland,Yes,Yes,Other,,,,No,Volunteering my time or skills in local programs;,,,,,,,,,,,
10083,Full Survey,1102067:24:13,"Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Paying for housing (rent, utilities, mortgage, taxes);Child care that is affordable and available;",York,No,No,,,,,No,Volunteering my time or skills in local programs;Not sure yet - I am open to ideas;,,,,,,,,,,,
10084,Full Survey,1102067:24:09,Finding affordable healthcare;,Cumberland,Yes,No,,,,,No,Volunteering my time or skills in local programs;Joining a group that solves community issues;,,,,,,,,,,,
10085,Full Survey,1102067:35:32,"Caring for aging parents or relatives;Mental health challenges (like anxiety, depression);Covering basic expenses (groceries, gas, emergencies);Jobs with low pay or no benefits;Lack of stable jobs with career growth;",Cumberland,"Maybe, with difficulty",Yes,Other,,,,Yes,Not sure yet - I am open to ideas;,,,,,,,,,,,
10086,Full Survey,1102067:42:00,Lack of stable jobs with career growth;Child care that is affordable and available;,Other,Yes,No,,,,,No,,,,,,,,,,,,
10087,Full Survey,1102067:42:27,Finding affordable healthcare;Child care that is affordable and available;,Cumberland,Yes,No,,,,,No,Volunteering my time or skills in local programs;,,,,,,,,,,,
10088,Full Survey,1102067:57:08,"Mental health challenges (like anxiety, depression);Child care that is affordable and available;Finding affordable healthcare;Behavioral health challenges (like substance use or addiction);Jobs with low pay or no benefits;",Cumberland,Yes,No,,,,,No,,,,,,,,,,,,
10089,Full Survey,1102068:00:47,"Mental health challenges (like anxiety, depression);",Other,Yes,Yes,Other,,,,,,,,,,,,,,,,
10090,Full Survey,1102088:29:28,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available;Finding affordable healthcare;Jobs with low pay or no benefits;",York,Yes,No,,,,,No,Donating money to United Way of Southern Maine;,,,,,,,,,,,
10091,Full Survey,1101971:29:47,"Mental health challenges (like anxiety, depression);Child care that is affordable and available;Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Jobs with low pay or no benefits;",Cumberland,Yes,No,,,,,No,Donating money to United Way of Southern Maine;,,,,,,,,,,,
10092,Full Survey,1102718:55:53,"Child care that is affordable and available;Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Behavioral health challenges (like substance use or addiction);",Cumberland,Yes,No,,,,,Yes,Donating money to United Way of Southern Maine;,,,,,,,,,,,
10093,Full Survey,1101874:50:59,"Covering basic expenses (groceries, gas, emergencies);Getting enough food;Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Paying for housing (rent, utilities, mortgage, taxes);",Cumberland,Yes,No,,,,,No,Donating money to United Way of Southern Maine;,,,,,,,,,,,
10094,Full Survey,1103076:36:26,"Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Jobs with low pay or no benefits;Feeling isolated or not connected to community;Finding affordable healthcare;",Cumberland,Yes,No,,,White;,,Yes,Donating money to United Way of Southern Maine;,,,,,,,,,,,
10095,Full Survey,1103647:37:24,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available;Jobs with low pay or no benefits;",York,Yes,No,,45 - 64,White;,,Yes,Donating to United Way of Southern Maine;I'm meeting with Cam Pederson about joining Women United;,,,,,,,,,,,
10096,Full Survey,1105913:03:00,"Finding affordable healthcare;Paying for housing (rent, utilities, mortgage, taxes);Behavioral health challenges (like substance use or addiction);Mental health challenges (like anxiety, depression);Jobs with low pay or no benefits",Cumberland,Yes,No,,65 - 75,White;,"I am moderately connected (For example, I occasionally volunteer and/or donate to UWSM)",Yes,Donating to United Way of Southern Maine;Speaking up or helping spread the word about important issues,,,,,,,,,,,
10097,Full Survey,1102739:41:59,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;",Cumberland,"Maybe, with difficulty",Yes,Other,,,,Yes,Helping connect people to services or resources;,,,,,,,,,,,
10098,Full Survey,1102358:42:57,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Behavioral health challenges (like substance use or addiction);homelessness;",Sagadahoc,"Maybe, with difficulty",Maybe,Other,,,,No,Helping connect people to services or resources;Speaking up or helping spread the word about important issues;,,,,,,,,,,,
10099,Full Survey,1102720:34:11,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);",Cumberland,Yes,No,,,,,Yes,Helping connect people to services or resources;Speaking up or helping spread the word about important issues;,,,,,,,,,,,
10100,Full Survey,1105697:29:23,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Getting to work, school, or appointments (transportation);Behavioral health challenges (like substance use or addiction);Mental health challenges (like anxiety, depression);",Cumberland & York,Yes,No,,65 - 75,White;,"I am closely connected (I am a UWSM volunteer, staff, or partner organization)",Yes,I am already involved via my employer United Recovery Fund;,,,,,,,,,,,
10101,Full Survey,1103699:42:26,"Paying for housing (rent, utilities, mortgage, taxes);Caring for aging parents or relatives;Covering basic expenses (groceries, gas, emergencies);",Cumberland,Yes,,,45 - 64,White;,,Yes,I am already involved w/UW;,,,,,,,,,,,
10102,Full Survey,1102814:04:25,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Feeling isolated or not connected to community;",York,Yes,Maybe,Other,,,,Yes,Joining a group that solves community issues;Helping connect people to services or resources;,,,,,,,,,,,
10103,Full Survey,1106031:09:00,"Paying for housing (rent, utilities, mortgage, taxes);Feeling isolated or not connected to community",Cumberland,No,No,,25 - 44,Black or African American;,"I am moderately connected (For example, I occasionally volunteer and/or donate to UWSM)",Yes,Joining a group that solves community issues;Helping connect people to services or resources;,,,,,,,,,,,
10104,Full Survey,1102529:01:19,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Finding affordable healthcare;Mental health challenges (like anxiety, depression);",York,"Maybe, with difficulty",No,,,,,No,Joining a group that solves community issues;Helping connect people to services or resources;Donating money to United Way of Southern Maine;,,,,,,,,,,,
10105,Full Survey,1102309:56:35,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Child care that is affordable and available;Finding affordable healthcare;",York,"Maybe, with difficulty",Yes,Other,,,,No,Joining a group that solves community issues;Helping connect people to services or resources;Donating money to United Way of Southern Maine;,,,,,,,,,,,
10106,Full Survey,1102819:13:36,"Getting to work, school, or appointments (transportation);Covering basic expenses (groceries, gas, emergencies);Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Mattresses and furniture delivery for people who have experienced homelessness and are moving into their first apartment. Bus passes and motor vehicle repair is also needed desperately.;",Cumberland,No,Maybe,Other,,,,Yes,Joining a group that solves community issues;Not sure yet - I am open to ideas;,,,,,,,,,,,
10107,Full Survey,1105911:33:00,"Finding affordable healthcare;Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Child care that is affordable and available",York,"Maybe, with difficulty",Yes,Other,More than 75,American Indian or Alaska Native;,I am not connected with United Way,Yes,Joining a group that solves community issues;Not sure yet - I am open to ideas;,,,,,,,,,,,
10108,Full Survey,1105401:40:04,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Finding affordable healthcare;Jobs with low pay or no benefits;",York,No,Yes,Other,45 - 64,White;,I am not connected with United Way,Yes,Joining a group that solves community issues;Not sure yet - I am open to ideas;,,,,,,,,,,,
